0,Point,LAT,LON,Moisture_perc_10,Moisture_perc_30,Moisture_perc_80,mean_yeild_c_per_ha,pen_resist_10,pen_resist_30,pen_resist_80,temp_10,temp_30,temp_80
K1,1,5751430.197,417003.844,18.93,24.56,17.82,681.70,193.15,210.35,288.85,22.50,18.90,16.30
K2,2,5751336.254,416995.506,23.30,24.10,19.49,578.30,106.28,181.38,272.00,20.20,18.30,16.20
K3,3,5751240.420,416980.347,23.57,22.89,19.07,626.70,143.37,143.06,292.80,20.60,19.70,17.20
K4,4,5751141.626,416976.802,21.36,21.98,17.64,666.70,183.06,325.34,336.20,18.80,17.60,16.00
K5,5,5751044.174,416969.528,21.43,20.35,11.15,536.70,119.60,171.37,326.65,20.20,18.90,16.80
K6,6,5750943.559,416966.347,20.99,20.13,21.28,731.70,284.85,318.51,385.45,19.30,19.20,15.90
K7,7,5751427.601,417098.874,20.23,23.87,21.84,458.30,110.14,200.30,268.10,20.40,18.40,16.00
K8,8,5751327.304,417087.221,23.72,22.52,16.67,541.70,99.91,195.36,269.10,20.00,18.10,15.80
K9,9,5751226.513,417067.289,20.23,21.64,22.66,796.70,92.20,213.64,324.10,20.10,18.10,15.40
K10,10,5751129.808,417048.901,25.35,25.84,18.26,608.30,273.04,294.69,380.90,19.10,17.90,15.70
K11,11,5751034.682,417061.544,23.17,22.92,21.86,750.00,137.40,223.52,344.10,19.70,18.70,15.80
K12,12,5750947.271,417079.209,19.76,20.23,16.27,611.70,177.32,378.72,322.55,18.90,18.10,15.50
K13,13,5751424.731,417208.809,22.40,24.57,19.91,401.70,105.27,169.68,260.10,21.60,18.80,16.50
K14,14,5751297.640,417187.069,17.77,21.53,23.89,841.70,92.58,198.63,265.90,20.50,18.00,15.30
K15,15,5751200.611,417168.955,23.00,22.58,20.00,858.30,94.31,235.62,278.70,19.50,17.10,14.90
K16,16,5751099.311,417147.697,23.10,23.24,22.00,730.00,208.31,266.97,346.35,20.20,17.50,15.00
K17,17,5751015.335,417141.594,20.37,24.54,20.96,895.00,157.76,183.19,301.35,20.30,18.30,15.80
K18,18,5750953.092,417172.516,21.31,22.40,25.31,811.70,104.85,183.77,273.25,20.30,18.10,15.80
K19,19,5751405.114,417345.711,27.81,22.13,22.90,670.00,66.51,208.49,288.00,20.50,19.10,15.90
K20,20,5751312.907,417330.882,25.31,23.90,20.80,635.00,124.99,222.78,311.77,19.43,18.48,16.05
K21,21,5751219.640,417313.105,27.04,27.13,24.17,508.30,101.17,160.14,293.15,19.90,18.50,16.10
K22,22,5751129.859,417297.600,30.26,26.80,23.23,718.30,106.83,171.23,295.55,18.80,17.23,16.10
K23,23,5751042.435,417287.194,26.51,25.79,17.36,880.00,81.47,189.78,287.00,19.80,19.50,16.50
K24,24,5750956.521,417271.322,21.96,20.99,19.04,640.00,87.11,200.97,300.65,20.80,18.80,16.50
K25,25,5751405.001,417455.686,29.11,24.18,24.85,661.70,97.40,280.56,290.44,21.80,18.50,16.90
K26,26,5751301.611,417441.563,23.26,28.57,24.39,656.70,146.89,213.98,312.35,19.50,18.28,16.16
K27,27,5751200.872,417420.684,21.78,20.69,23.83,548.30,101.58,220.10,290.35,21.20,17.50,15.70
K28,28,5751118.436,417404.946,24.05,22.73,23.74,403.30,126.54,187.84,279.85,20.50,17.80,15.80
K29,29,5751027.716,417390.124,21.95,20.88,16.70,623.30,124.49,164.91,314.70,20.20,18.30,16.30
K30,30,5750966.666,417375.614,22.69,18.64,9.68,741.70,199.40,205.03,388.00,20.30,18.20,16.60
K31,31,5751401.929,417561.230,26.62,21.76,18.82,973.30,142.55,271.38,315.70,19.10,17.30,15.80
K32,32,5751315.453,417544.423,15.89,25.77,20.66,770.00,132.01,251.18,273.55,19.03,18.85,17.10
K33,33,5751225.982,417526.517,27.55,25.17,24.55,758.30,105.80,263.34,297.35,18.00,19.60,16.50
K34,34,5751132.589,417507.002,25.71,24.29,25.32,536.70,53.29,134.23,261.20,20.50,17.40,16.50
K35,35,5751042.307,417485.509,19.62,17.79,16.87,596.70,146.57,309.21,311.10,18.88,19.15,17.13
K36,36,5750952.763,417467.407,19.51,21.15,18.53,566.70,101.25,320.78,334.60,20.40,17.60,16.00
K37,37,5751395.775,417687.561,25.88,22.56,21.78,665.00,242.90,313.76,338.55,18.70,19.90,17.30
K38,38,5751304.967,417668.468,25.35,21.95,24.42,778.30,185.30,243.24,369.40,19.10,18.90,16.00
K39,39,5751204.659,417647.785,25.51,25.00,23.78,470.00,131.18,197.00,336.60,20.20,17.30,16.30
K40,40,5751119.160,417628.633,20.22,21.04,20.31,645.00,185.34,210.33,308.53,20.70,19.10,17.23
K41,41,5751025.536,417608.336,22.34,22.20,21.73,633.30,56.21,162.84,274.50,20.20,18.50,15.40
K42,42,5750951.252,417598.289,21.88,20.81,16.53,563.30,61.45,146.83,268.80,19.93,18.48,15.90
K43,43,5751382.536,417820.322,23.27,20.77,23.95,556.70,68.71,191.30,260.30,17.40,18.30,16.40
K44,44,5751281.072,417798.506,24.10,27.25,21.53,841.70,124.88,201.45,328.00,18.30,18.20,16.10
K45,45,5751191.115,417780.448,23.00,21.36,24.03,975.00,98.61,178.85,280.25,19.60,19.40,17.70
K46,46,5751004.700,417740.280,21.44,22.06,21.49,861.70,165.48,266.82,339.40,19.60,19.04,16.80
K46N,47,5751106.021,417760.713,23.87,24.95,20.77,703.30,100.14,150.71,262.55,21.30,17.50,15.80
K49,48,5751074.670,417402.382,16.67,19.05,17.78,591.70,122.94,161.89,322.10,18.95,19.20,17.18
K50,49,5751034.249,417409.358,19.02,18.74,20.00,608.30,128.68,236.81,335.35,22.50,18.60,15.80
K51,50,5750987.495,417413.141,18.23,19.58,26.98,0.00,96.28,193.62,257.90,31.10,17.60,15.50
K52,51,5750940.997,417409.576,19.35,22.86,25.40,795.00,87.79,115.58,239.87,21.30,18.50,16.75